sold time,time since transaction link,nft,nft link,price,usd,attributes,seller,seller link,buyer,buyer link
13 days ago,https://etherscan.io/tx/0xdda86c1c1ce3b51783d5fd8e61478c3d0c8ee873c98807bca7a509a0ac09214c,Paper Armada #179 ,https://cryptoslam.io/art-blocks/mint/37000179,0.59340 ETH,"$2,216.96","Type: Trooper, Palette: Mono, Coloring strategy: Single, Base color: White, Angle: Tilted left, Coordination: Bad, Unit shape: Ship, Width: 12, Height: 22",0x6c3a80b5dba28b3bcc8e7b2ced6403d9087bf0fb,https://cryptoslam.io/owner/0x6c3a80b5dba28b3bcc8e7b2ced6403d9087bf0fb,0x98f287cdf396a4a97ec9a0f8b337277bf764fb8f,https://cryptoslam.io/owner/0x98f287cdf396a4a97ec9a0f8b337277bf764fb8f
13 days ago,https://etherscan.io/tx/0x05f33f58dd38d5f721debba9d64a8c7f72ebe4cefe84cfeeac238094aca4e026,glitch crystal monsters #808 ,https://cryptoslam.io/art-blocks/mint/114000808,1.98000 ETH,"$7,397.33","Monster: Streamlined, BlackandWhite: off, Sky: Fire, Crystals: medium",0x3abe35eba716e436267384c637c65fc8585c50d6,https://cryptoslam.io/owner/0x3abe35eba716e436267384c637c65fc8585c50d6,0xafbf7e3cfa48ff03dca13472b86397f77c190d7c,https://cryptoslam.io/owner/0xafbf7e3cfa48ff03dca13472b86397f77c190d7c
13 days ago,https://etherscan.io/tx/0x6093d81e0579f2226886f126fdda4788ea8fe89cbb88f3033a49625ac1b8fd72,Cryptoblots #610 ,https://cryptoslam.io/art-blocks/mint/3000610,1.18000 ETH,"$4,416.42","Unary Cryptoblot, Color: Cardinal Red",0x4b37918f6aaa1bf39228d420ad73091fb0e443f9,https://cryptoslam.io/owner/0x4b37918f6aaa1bf39228d420ad73091fb0e443f9,0x5d0bd8abbafdf15746df01a5353249cf5e4d3ae0,https://cryptoslam.io/owner/0x5d0bd8abbafdf15746df01a5353249cf5e4d3ae0
13 days ago,https://etherscan.io/tx/0x14c9aeeee0e7f95deca0439348ab46c1130a046bd33506c1b5f5febeae60006f,Augmented Sequence #824 ,https://cryptoslam.io/art-blocks/mint/169000824,0.12000 ETH,$448.28,,0x5f4f848e837d5bd4a1b3d4d5a958afca5b0c146d,https://cryptoslam.io/owner/0x5f4f848e837d5bd4a1b3d4d5a958afca5b0c146d,0x5508b0bee0cadb1808bc34ae3fec7ced3ae7dd41,https://cryptoslam.io/owner/0x5508b0bee0cadb1808bc34ae3fec7ced3ae7dd41
13 days ago,https://etherscan.io/tx/0x373621a710d2106e039387a576cae61b130b19a20d2317fdf8a5ccb94f946721,We #115 ,https://cryptoslam.io/art-blocks/mint/153000115,0.16000 ETH,$591.86,,0x6f145306d169bc4e05410d313280f8326ba0d97d,https://cryptoslam.io/owner/0x6f145306d169bc4e05410d313280f8326ba0d97d,0x542409d8a40557140ecbe30341d3e2a8743d84ed,https://cryptoslam.io/owner/0x542409d8a40557140ecbe30341d3e2a8743d84ed
13 days ago,https://etherscan.io/tx/0x1388b3c808fa6ced456a22373ee0914e5eab2ca0a94a70c5bd16d449d82dab0c,Chromie Squiggle #1372 ,https://cryptoslam.io/art-blocks/mint/1372,17.80000 ETH,"$65,844.51","Ribbed (Color: 231), Starting Color: 241, End Color: 86, Color Spread: 34, Color Direction: Forward, Height: 3, Segments: 17, Steps Between Segments: 200",0x12162eec0486b2a8c4571a3d52a77639dd26753a,https://cryptoslam.io/owner/0x12162eec0486b2a8c4571a3d52a77639dd26753a,0x0c5a2c72c009252f0e7312f5a1ab87de02be6fbe,https://cryptoslam.io/owner/0x0c5a2c72c009252f0e7312f5a1ab87de02be6fbe
13 days ago,https://etherscan.io/tx/0x4c68529ed274bcb76ec6e83c8b43638b55cd8a57e65225ec523d71af7212d082,Aerial View #840 ,https://cryptoslam.io/art-blocks/mint/35000840,1.98000 ETH,"$7,324.28","Style: hybrid, Lighttrail: Neon Green, Colorset: Elevating, Altitude: 7, Elevation: 16",0x19df3de4c747b0e75632fe271d64d84c5fe72a68,https://cryptoslam.io/owner/0x19df3de4c747b0e75632fe271d64d84c5fe72a68,0xb4522eb2ca49963de9c3dc69023cbe6d53489c98,https://cryptoslam.io/owner/0xb4522eb2ca49963de9c3dc69023cbe6d53489c98
13 days ago,https://etherscan.io/tx/0x2a24a69fdda2b364ac203496f228a7f0de0ac9009304b9335b5502e85325b4a9,Hieroglyphs #339 ,https://cryptoslam.io/art-blocks/mint/30000339,0.60000 ETH,"$2,184.80","Primary: #95CB99, Sizing: Small, Depth: On, Shapes: Single, Party Mode: Activated, Color Mode: Flat, Canvas: Classic",0x5eb27c71969c678d21585c8a2f37d4df1ad9b6e7,https://cryptoslam.io/owner/0x5eb27c71969c678d21585c8a2f37d4df1ad9b6e7,0xbbcb54119492581766c1256ffbe8f816c13f26e2,https://cryptoslam.io/owner/0xbbcb54119492581766c1256ffbe8f816c13f26e2
13 days ago,https://etherscan.io/tx/0xbec3cba143e1bec96d7d9ffbe5b6be48a4e6be8f8138d16d9fcb90184cb9901c,Hieroglyphs #13 ,https://cryptoslam.io/art-blocks/mint/30000013,0.50000 ETH,"$1,820.18","Primary: #3AC9CE, Sizing: Small, Depth: On, Shapes: Multi, Party Mode: Activated, Color Mode: Flat, Canvas: Classic",0xdee0075b89869cc40135468e861dec990bb4ad6e,https://cryptoslam.io/owner/0xdee0075b89869cc40135468e861dec990bb4ad6e,0xbbcb54119492581766c1256ffbe8f816c13f26e2,https://cryptoslam.io/owner/0xbbcb54119492581766c1256ffbe8f816c13f26e2
13 days ago,https://etherscan.io/tx/0x0b7cdb2c94e9845572bde269ac5fe82c4303966eae176ea0b828db46bf0d608c,Blaschke Ballet #156 ,https://cryptoslam.io/art-blocks/mint/167000156,0.38800 ETH,"$1,412.46",,0x5b571eafc72d53870d65a2697f4d27e47064962c,https://cryptoslam.io/owner/0x5b571eafc72d53870d65a2697f4d27e47064962c,0xdd15237d5b9d293e62ca478a09bf9a908275016b,https://cryptoslam.io/owner/0xdd15237d5b9d293e62ca478a09bf9a908275016b
